accuracy,sample_size,time
0.4335,1000,64.15516829490662
0.4844,2000,98.66796374320984
0.6097,5000,231.7923240661621
0.6731,10000,346.6442575454712
0.7675,25000,601.0672769546509
0.8073,50000,921.3516776561737
