accuracy,sample_size,time
0.3214,1000,7.312939167022705
0.3618,2000,15.627824306488037
0.3755,5000,46.83092904090881
0.3894,10000,127.80939197540283
0.4089,25000,529.8628559112549
0.4188,50000,1745.4892420768738
