accuracy,sample_size,time
0.6612,1000,1039.488296031952
0.684,2000,1838.208698272705
0.7278,5000,5468.546320915222
0.7506,10000,11303.025795936584
0.7728,25000,25340.225940704346
0.7862,50000,58643.15044474602
